sample_id,220090_at,226067_at,205900_at,230835_at,226147_s_at,204623_at,223720_at,229659_s_at,202018_s_at,212768_s_at,213432_at,207802_at,205979_at,224328_s_at,206642_at,1560712_at,220267_at,217022_s_at,220620_at,213240_s_at,group
GSM1551399,13.01565047,13.15448355,12.22133105,11.05365302,13.25690804,13.59768004,2.385431683,13.46014749,12.05320294,14.39116176,12.77757532,10.45715769,12.68999152,3.133891446,2.989719393,10.79658999,15.30747014,14.84105283,1.777850969,14.39693834,CIN3
GSM1551400,15.04440259,1.654160141,14.6421388,15.63797901,2.092455737,1.874894846,14.92035206,3.087774624,2.367332437,12.15955562,2.127493228,15.04269595,2.768298749,15.3864008,12.19305686,14.03190025,6.122612793,10.42893089,10.98850073,15.41096381,CIN3
GSM1551401,12.76847553,13.73601228,5.609999291,11.28996949,12.81341782,11.26530625,10.36532974,12.62882173,13.04301414,7.886340597,12.69233608,9.049533746,11.89546665,3.975547112,2.945213452,11.4845675,7.007277262,14.79729449,1.81555045,14.52696471,CIN3
GSM1551402,1.765734386,11.62959154,1.687267303,2.330395213,13.62591255,10.78151326,2.30012115,13.69227229,10.76169984,7.906445106,11.56718648,10.16165951,11.00493698,2.509632476,2.906293268,3.511729825,3.94866943,15.5911625,1.752742029,12.18679255,CIN3
GSM1551403,1.501125066,10.9666494,6.520480367,2.417811271,12.00107399,11.1220605,2.297445546,11.74985157,9.921586088,4.274183513,11.87582095,3.410492772,12.93552468,4.079487718,2.909590434,3.114669136,4.09237382,15.0134332,1.744815411,11.43358095,CIN3
GSM1551404,3.853676149,1.64500377,14.21275222,12.45226129,3.369142571,1.865066036,7.840420648,3.227736371,2.340191989,4.358679001,2.082530724,3.623634168,2.733158322,7.961861371,11.03249789,8.840594514,12.62973562,14.52309706,1.790721526,14.00085979,CIN3
GSM1551405,13.93512108,1.658022482,14.28004441,14.62198727,2.114284048,1.761329767,12.59636631,3.080980376,2.315765813,4.338323825,2.080885621,6.367886421,2.716486966,12.79812208,13.0532734,13.1447648,13.79699035,12.48481534,9.513100511,15.16774517,CIN3
GSM1551406,1.530181683,8.616809988,15.12248916,15.56172232,11.04024483,8.478357337,2.301316274,10.05361601,8.781675066,14.03824757,8.657200855,3.472191838,10.7785128,12.42822438,12.09899818,3.346461137,4.09007648,11.65620616,8.618290235,7.446017463,CIN3
GSM1551407,11.30270032,8.210779422,12.61440379,14.36829643,8.059783001,2.745272314,9.754792894,7.894211843,9.737086718,8.442319318,3.396198614,3.420698598,4.152669728,10.37519945,2.924057056,9.734243561,11.38299737,13.68825468,9.082931074,13.22764185,CIN3
GSM1551408,14.00869186,14.8768155,14.29905944,15.09305471,13.01339782,13.35054314,5.304633942,15.09316577,13.15499693,13.6648362,13.13161903,11.23501384,13.37157629,6.748702637,12.34504527,11.80545235,13.81619782,14.54870448,8.080741303,15.06071444,CIN3
GSM1551409,13.10623731,14.14673895,7.546890485,12.48893785,14.60205503,13.00659503,5.45510509,14.3868484,13.22051246,12.08297204,11.78421841,9.726849617,12.51999383,4.848010589,3.042634819,10.2450531,14.63786777,5.413304487,1.839630821,15.53309719,CIN3
GSM1551410,1.376050863,10.27430622,8.636775338,1.567598955,7.854299163,6.035796822,2.667421562,7.207550947,11.32734854,13.23124629,2.019058327,4.916692209,2.695371382,3.677221384,2.511610405,2.710482212,3.961633136,15.58400038,1.316841013,1.83953027,CIN3
